编号,日期,分析类型,分析结果,ood类型,备注
2,2024-01-16 18:02:25.279656,失稳判别,稳定,是,测试备注，可以正常与本地信息交互
3,2024-01-18 18:02:25.279656,失稳判别,空,否,数据完整
4,2024-01-20 18:02:25.279656,预测未来曲线,空,是,确认结果
5,2024-01-22 18:02:25.279656,失稳判别,稳定,否,数据完整
6,2024-01-24 18:02:25.279656,预测未来曲线,稳定,是,等待数据
7,2024-01-26 18:02:25.279656,失稳判别,不稳定,是,需重新分析
8,2024-01-28 18:02:25.279656,失稳判别,不稳定,否,需重新分析
9,2024-01-30 18:02:25.279656,预测未来曲线,稳定,是,数据完整
10,2024-02-01 18:02:25.279656,失稳判别,不稳定,否,数据完整
11,2024-02-03 18:02:25.279656,预测未来曲线,稳定,是,数据完整
12,2024-02-05 18:02:25.279656,失稳判别,不稳定,是,分析中
13,2024-02-07 18:02:25.279656,预测未来曲线,不稳定,是,确认结果
14,2024-02-09 18:02:25.279656,失稳判别,稳定,是,等待数据
15,2024-02-11 18:02:25.279656,预测未来曲线,稳定,否,分析中
16,2024-02-13 18:02:25.279656,失稳判别,稳定,是,确认结果
17,2024-02-15 18:02:25.279656,预测未来曲线,不稳定,否,数据完整
18,2024-02-17 18:02:25.279656,失稳判别,空,是,分析中
19,2024-02-19 18:02:25.279656,预测未来曲线,空,是,等待数据
20,2024-02-21 18:02:25.279656,失稳判别,空,是,确认结果
21,2024-02-23 18:02:25.279656,预测未来曲线,稳定,否,确认结果
22,2024-02-25 18:02:25.279656,失稳判别,不稳定,否,分析中
23,2024-02-27 18:02:25.279656,预测未来曲线,不稳定,否,需重新分析
24,2024-02-29 18:02:25.279656,失稳判别,空,否,等待数据
25,2024-03-02 18:02:25.279656,预测未来曲线,不稳定,否,分析中
26,2024-03-04 18:02:25.279656,失稳判别,稳定,否,分析中
27,2024-03-06 18:02:25.279656,失稳判别,稳定,否,分析中
28,2024-03-08 18:02:25.279656,失稳判别,不稳定,否,等待数据
29,2024-03-10 18:02:25.279656,失稳判别,空,是,分析中
30,2024-03-12 18:02:25.279656,失稳判别,稳定,是,数据完整
31,2024-03-14 18:02:25.279656,失稳判别,空,否,确认结果
32,2024-03-16 18:02:25.279656,预测未来曲线,不稳定,是,确认结果
33,2024-03-18 18:02:25.279656,预测未来曲线,不稳定,是,数据完整
34,2024-03-20 18:02:25.279656,失稳判别,不稳定,是,分析中
35,2024-03-22 18:02:25.279656,预测未来曲线,不稳定,是,确认结果
36,2024-03-24 18:02:25.279656,预测未来曲线,不稳定,否,数据完整
37,2024-03-26 18:02:25.279656,失稳判别,稳定,是,需重新分析
38,2024-03-28 18:02:25.279656,失稳判别,不稳定,否,需重新分析
39,2024-03-30 18:02:25.279656,预测未来曲线,稳定,否,确认结果
40,2024-04-01 18:02:25.279656,预测未来曲线,空,是,分析中
41,2024-04-03 18:02:25.279656,失稳判别,稳定,否,数据完整
42,2024-04-05 18:02:25.279656,失稳判别,不稳定,否,确认结果
43,2024-04-07 18:02:25.279656,预测未来曲线,空,是,分析中
44,2024-04-09 18:02:25.279656,预测未来曲线,不稳定,否,分析中
45,2024-04-11 18:02:25.279656,失稳判别,不稳定,是,分析中
46,2024-04-13 18:02:25.279656,预测未来曲线,稳定,是,分析中
47,2024-04-15 18:02:25.279656,失稳判别,不稳定,是,等待数据
48,2024-04-17 18:02:25.279656,失稳判别,不稳定,否,分析中
49,2024-04-19 18:02:25.279656,预测未来曲线,空,否,分析中
50,2024-04-21 18:02:25.279656,失稳判别,稳定,否,分析中
